직무명,회사명,위치,경력,주요업무,자격요건,우대사항
데이터 분석가 (3년차 이상),파이프트리스마트팜(PAIPTREESmartFarmInc.),서울 강남구,경력 3년 이상,"주요업무
• 농장의 환경 및 생체 데이터 전처리 및 feature를 추출합니다.
• 정형 및 비정형 데이터(영상, 사운드) 기반 모델링 및 Edge AI 구현을 위한 모델을 최적화합니다.
• 지속적인 서비스를 위한 데이터 파이프라인을 구축하고 유지합니다.","자격요건
• 통계분석 및 모델링 개발의 리딩 경험이 풍부하신 분.
• 3년 이상의 실무 경험 및 분석을 위한 Python, R 활용 이해가 깊은 분.
• TensorFlow, PyTorch 딥러닝을 이용한 모델링 경험이 있는 분.
• Data 분석 주제나 이슈에 대한 부서 간 커뮤니케이션에 강점이 있는 분.
• 리눅스 기반 개발 경험이 있는 분.","우대사항
• ML/DL 관련 분야 석/박사 학위 또는 그에 준하는 경험이 풍부한 분.
• Linux 사용 경험이 있는 분.
• Notion 커뮤니케이션이 가능한 분.
• 데이터 가공, 분석, 모델링, 서비스 구현까지의 전체 프로세스 경험이 있는 분.
• 최신 딥러닝 트렌드에 대해 이해도가 있는 분.
• 스타트업 근무 경험이 있는 분."
마케팅 데이터 분석 (브랜드엑셀러레이팅사업부/데이터분석팀),테크랩스,서울 강남구,경력 2-10년,"주요업무
[브랜드 엑셀러레이팅 사업부]
ㆍ고관여 제품이나 서비스의 마케팅 전략과 실행능력을 특히 병의원에 특화된 그로스 마케팅 전문 사업부 입니다.
ㆍ많은 파트너 병의원을 연간 최대 1,000% 넘게 성장을 시키며 병원 브랜드 부스터, 병원 마케팅 사관학교로 불리고 있습니다.
ㆍ온/오프라인 광고물, 홈페이지, 블로그, 유튜브 영상 콘텐츠, SNS 콘텐츠 등에 대해 전략 수립/제작과 차별화된 마케팅을 제공합니다.

[담당업무]
• 서비스 이용 패턴 분석
- 핵심 지표(회원/매출 등) 변화에 영향을 끼치는 요인 발굴 및 이에 대한 분석 진행
- 관련 데이터 설계 및 적재 방식 기획
• 서비스 핵심 지표 관련 데이터 관리 및 분석
- 대내외 유기적인 현황 파악을 위한 데이터 설계 및 관리 진행
- 해당 데이터에 기반한 서비스 현상 분석","자격요건
• 중상급 수준의 Excel 활용이 가능하신 분(필수)
• 종합적 사고에 기반한 방법론 설계가 가능하신 분","우대사항
• 사회과학 계열 통계를 학습하신 분
• 데이터 분석 관련 자격증(사회조사분석사 등)을 보유하신 분"
Data Scientist (산업기능요원),트릿지,서울 서초구,신입-경력 5년,"주요업무
이러한 업무를 수행합니다:

• Tridge의 독점 데이터와 시장 경제에 대한 깊은 이해를 결합하여 다양한 비즈니스 통찰력을 생성합니다.
• 머신러닝 및 딥러닝 기반 알고리즘을 개발하여 시장 변동성, 가격 차익 거래 및 트렌드 예측과 같은 핵심 시장 변화를 추적하고 비즈니스 및 의사 결정 과정을 지원합니다.
• 빠른 시장 변화에 대응하여 새로운 시장 변수를 재평가하거나 식별하고, Tridge의 기존 빅데이터 모델을 조정하고 개선합니다.
• 데이터 전문성을 활용하여 새로운 데이터 수집 및 모니터링을 통해 데이터 품질을 향상시킵니다.","자격요건
이러한 역량과 경험이 있는 분들을 찾습니다:

• (필수) 정보처리 분야 산업기능요원 편입요건을 충족하시는 분
• 높은 수학적 이해와 분석적 사고에 기반한 강력한 문제 정의 및 해결 능력을 보유하신 분
• 데이터 분석 및 모델링 언어/프레임워크 (Python, R, SQL, Pandas, TensorFlow, PyTorch, Spark 등) 사용 경험이 있으신 분
• 머신러닝 또는 딥러닝 알고리즘 연구/개발 경험을 보유하신 분
• 영어로 소통이 가능하신 분","우대사항
이러한 강점이 있다면 더욱 좋습니다:

• 데이터 분석 및 모델 개발 프로젝트를 주도한 경험이 있으신 분
• 머신러닝 또는 딥러닝 모델의 개발 및 배포를 경험하신 분.
• 데이터 분석, 모델링 및 실험을 통해 비즈니스 및 사용자 경험에 영향을 미친 경험이 있으신 분"
Data Scientist (병역특례 가능),에이비일팔공(AB180),서울 서초구,경력 2년 이상,"주요업무
• 머신러닝 기반의 광고 노출 및 오퍼월(Offerwall) 최적화 알고리즘 개발
• 광고 및 사용자 데이터 분석을 통해 고객사의 성장을 지원하는 에어브릿지 관련 기능 개발
• Large Language Model을 활용한 고객지원 및 데이터 분석 솔루션 개발","자격요건
• 관련 경력 2년 이상 또는 이에 준하는 경험을 보유한 분
• 사용자들이 모바일과 웹에서 만들어 내는 방대한 데이터에서 흥미로운 패턴을 찾아내는 것에 관심과 열정이 있으신 분
• 통계, 머신러닝, 딥러닝 관련 전공자 또는 그에 준하는 배경지식을 가지신 분
• 영어 논문을 읽고 필요한 지식을 습득하여 서비스 개발에 적용하는 것이 가능하신 분
• Python, R 등 데이터 분석/모델 개발을 위한 프로그래밍 언어를 1개 이상 자유롭게 사용 가능하신 분
• Tensorflow, PyTorch, scikit-learn 등 머신러닝 모델링 프레임워크를 사용한 서비스 구축 경험이 있으신 분
• SQL을 활용한 필요한 데이터 추출 및 가공 작업이 가능하신 분","우대사항
• 광고, 커머스, 추천 시스템 등 사용자 데이터를 분석해 본 경험이 있으신 분
• 모바일 게임에 대한 깊은 관심과 게이밍 생태계에 대한 풍부한 이해와 경험을 보유하신 분
• 강화학습 (Multi-Armed Bandit 포함), 인과추론 (Causal Inference)에 대한 이론적 배경이 있으신 분
• Hadoop, Spark 등 빅데이터 분석 플랫폼을 활용한 대용량 데이터 분산 처리 경험이 있으신 분
• Snowflake, Databricks 등 데이터 웨어하우스 사용 경험이 있으신 분
• 영어를 통한 의사소통을 유창하게 하실 수 있는 분"
"CoE Team - Data Scientist, MLOps 전문가",피앤디솔루션,경기 안양시,경력 5년 이상,"주요업무
• CoE Team의 일원으로, Data Scientist 관련 기술의 Technical Leadership 담당
• CoE Team 은 크게 4가지 목표로 운영됩니다.
- 사내 분야별 기술 전문가 팀으로서 전문성 확보
- 프로젝트 내 기술적 문제에 대한 가이드, 컨설팅 및 문제 해결 지원 (Full-Time 참여가 아닌 기술적 문제 해결에 집중)
- 사내/외 전파 교육 및 컨설팅 제공
- 고객사에 대한 솔루션 제안 및 Demo 지원, 프로젝트 인수인계 및 기술 전수
• 주로 다루는 솔루션: Data 가상화(Denodo, TDV), Data Preparation Solution, MLOps(Dataiku) 등","자격요건
• 관련 기술 경력 5년 이상*
• Dataiku 또는 유사 플랫폼(DataRobot, Alteryx 등) 사용 경험
• SQL, Python, R 및 데이터 처리 및 분석 언어 사용 경험
• Data Modeling, Machine Learning, AI 솔루션 경험
• ChatGPT, Copilot 등 LLM 구축 경험
• 엔터프라이즈 고객과의 업무 경험
• 적극적이고 원활한 커뮤니케이션 능력*
• 동료에 대한 상호 존중 및 배려의 태도*
• 해외여행에 결격사유가 없는 분*

##모든 기술을 완벽하게 갖추기보다는 위 기술 중 2~3개 이상의 강점을 가진 분을 찾고 있습니다.","우대사항
• 프리세일 경험이 있으신 분
• 영어로 의사소통이 가능하신 분
• 클라우드 서비스(AWS, Azure, Google Cloud) 경험이 있으신 분"
제품 Data Analyst (Senior),바비톡,서울 서초구,경력 7년 이상,"주요업무
• Data-driven 의사결정을 내릴 수 있도록 정량적 수치와 분석 결과를 제공하고, 구성원들에게 Insight가 전달될 수 있도록 대시보드 및 리포트를 구성합니다.
• 목표로 하는 지표의 성장을 위한 임팩트 있는 가설을 설정하고, 이를 검증하기 위한 A/B 테스트 실험을 설계하며, 결과를 분석하여 전달합니다.
• Product Owner와 함께 서비스 및 전사의 방향을 결정하는 중요한 전략가로서의 역할도 수행합니다.
• 바비톡 사용자들이 경험하는 App의 UX 플로우 및 Funnel을 분석하여 개선점을 도출합니다.
• 제품 조직 뿐만 아니라, 마케팅, 운영팀, 영업팀 등 다양한 팀과의 협업을 통해 비즈니스 문제를 정의하고, 이를 해결하기 위한 가설을 수립합니다.

[업무환경]
• AWS S3와 Glue로 구축한 Data Lake를 활용합니다.
• 데이터 조회 및 가공은 Amazon Athena를 사용합니다.
• Amazon Quicksight와 Amplitude를 사용하여 서비스 주요 지표 및 성과 분석을 공유합니다.
• 핵클을 활용하여 AB 테스트를 진행합니다.","자격요건
• DA 경력 7년 이상 혹은 이에 준하는 실력
• 주제별 데이터 분석, 가설 수립, 성장 실험 등 데이터 분석과 관련한 높은 이해도를 갖춘 분
• 주어진 업무 외에 데이터 분석가로서 서비스에 기여할 수 있는 방법을 동료들과 논의하여 실행해 본 경험이 있는 분
• 담당 업무들 사이의 우선 순위를 정의하고 이해 관계자들과 협의를 원활하게 진행하실 수 있는 분
• Amazon Athena (또는 Trino), Google BigQuery, Amazon Redshift, Snowflake 를 통한 빅데이터 핸들링 역량 (SQL)
• 코호트 분석, A/B 테스트, Funnel 분석 등의 분석 방법론에 대한 이해 & 실무 적용 경험
• 모바일 서비스 데이터 분석 방법(Customer Lifetime Value, Retention, Cohort Analysis 등)에 대한 높은 수준의 이해
• Amplitude, Google Analytics, Firebase 등의 로그분석 툴 사용 경험","우대사항
• Lean Startup 및 Agile 조직 경험이 있으신 분
• 데이터 시각화(Tableau, Amazon Quicksight 등)에 대한 풍부한 경험이 있는 분
• Python, R 등을 활용한 데이터 분석에 대한 이해도가 높으신 분
• Spark 등을 활용한 데이터 적재 및 가공에 대한 이해도가 있으신 분"
Data Scientist,바잉스퀘어,서울 강남구,경력 3년 이상,"주요업무
• 다양한 타입의 비정형 데이터 머신러닝을 통한 정형화
• 머신러닝 기반 내부의 주문 데이터와 외부의 소셜 네트워크 데이터를 반영한 수요 예측 알고리즘 개발 및 개선
• 정형화된 데이터 기반 제약조건을 고려하고 시장 수요 예측을 반영한 최적의 추천 알고리즘 개발
• RAG, Fine tuning 등을 이용해 LLM 모델의 성능을 향상","자격요건
• LLM을 활용한 서비스/ 모델 개발 및 적용, fine tuning까지의 a-to-z 경험이 있으신 분
• 논리적 사고 및 문제 정의 & 해결을 해주실 분
• 두괄식 커뮤니케이션 스타일과 우수한 협업 능력을 보유하신 분
• 수동적으로 받은 업무를 처리하기보다는 작업의 본질을 흡수하고 주도적으로 개발해 주실 분","우대사항
• 관련 전공의 석사 이상 학위를 보유하신 분
• 경영, 전략, 기획 관련 직무를 경험한 분 또는 해당 직군과 면밀히 일한 경험이 있는 분
• B2B 또는 이커머스 도메인 내 경험이 있으신 분
• 숙련된 프로그래밍(Python) 능력을 갖추신 분
• Docker 및 Kubernetes에 대한 경험을 보유하신 분"
[Engineering] 데이터 분석가,콜로세움코퍼레이션,서울 강남구,경력 3년 이상,"주요업무
실무 지표 및 데이터 분석, 주 업무
축적된 로우데이터 기반한 데이터 탐색
비즈니스를 이해하고 요구사항을 충족하는 모니터링 지표 개발
데이터를 기반으로 한 가설 수립 및 검증
Data를 정제/가공/분석하고, 리포트와 시각화를 제공","자격요건
■ 공통 역량
SQL, Python, R 등의 도구를 활용하여 원하는 데이터를 추출, 가공, 시각화해본 경험이 있는 분.
분석 결과를 다양한 각도에서 바라보고 여러 의미로 해석할 수 있는 분.
다양한 지표를 관리 및 운영 경험이 있으신 분.
데이터 분석 툴 사용 경험이 있으신 분. (BigQuery,Looker,QuickSight,Tableau 등)

■ 직무 역량
데이터 마트를 주도적으로 설계 및 구축하고, 운영한 경험이 있는 분
BI 서비스, 지표 제공 및 대내외 보고서 개발/운영 경험이 있는 분
숙련된 SQL 능력과 Python 데이터 처리 경험이 있는 분
클라우드 기반의 데이터 엔지니어링 경험이 있는 분","우대사항
통계, 산업공학, 컴퓨터 공학 전공
물류 서비스 도메인 지식에 익숙하신 분
데이터 파이프라인 처리 경험
MySQL 등 RDBMS 경험
BigQuery,Looker 직접 구축 및 활용 가능"
[AI Agent] AI Researcher/Data Scientist,사각,서울 마포구,경력 2년 이상,"주요업무
1. Private Personalized AI Agent PoC: 고객이 보유한 데이터를 이용한 AI 서비스 아이디어 구현/검증
- 데이터를 분석하여 정량적인 지표를 추출(EDA and Feature Engineering)
- 적절한 머신러닝 기법을 선택한 후 학습 및 검증(Training and Validation)

2. 코어 AI 알고리즘 연구
- On-device, On-premise 환경을 타겟으로 Federated Learning Framework 을 중심으로 한 Privacy Preserving AI 알고리즘 연구

* 주요분야
- Personalized Federated Learning
- Transfer Learning for Model Compression
- Machine Unlearning

3. 기업용 업무 자동화를 위한 SLM 기반 AI 모델 개발
- 범용 LM이 아닌 수행업무가 명확하게 정의된 특수 목적용 LM 개발
- 오픈소스 LLM을 바탕으로 주어진 수행업무의 범위에 따라 RAG 또는 미세조정 수행","자격요건
• 파이썬 기반의 머신러닝 라이브러리 및 딥러닝 프레임워크(Pytorch, Tensorflow, et. al.) 사용에 능숙하신 분
• 통계분석, 머신러닝(특히, 연합학습)에 대한 기본적인 이해를 가지고 계신분
• 주어진 문제에 대한 논리적/문맥적 정의를 바탕으로 데이터를 활용한 해결책을 수립하고 검증하는 데 열정이 있는 분
• Technical Presentation에 익숙하신 분","우대사항
• 논문 또는 챌린지 등 데이터분석, 머신러닝/딥러닝 프로젝트을 주도해서 수행한 경험이 있으신 분
• 실 생활에서 접하는 다양한 유형의 데이터에 대해, preprocessing 및 머신러닝 모델을 설계하고 검증해본 경력이 있는 분
• MLOps에 대한 경험이 있으신 분"
Data Scientist,딥인사이트,경기 성남시,경력 1-10년,"주요업무
[팀 소개]
딥인사이트 기업부설연구소는 운전자와 동승자의 안전을 책임지는 In-Cabin Monitoring Systems(ICMS)을 개발합니다.
제한된 환경에서 최선의 속도와 정확도를 갖는 인공지능 어플리케이션으로 다음 세대 자동차의 안전과 편의성을 향상시킵니다.

[주요 업무]
- 관련 분야 석/박사로 이루어진 딥러닝 모델 개발자들의 훈련 결과물을 비판적으로 분석하는 역할입니다.
- 실전에서의 모델의 성능을 담보하기 위해 총체적인 검증을 수행합니다.
- 모델의 단점을 보완하기 위해 개선되어야할 파라미터 스페이스를 판별해냅니다.
- 명확한 통계적 근거를 바탕으로 모델 개발자에게 피드백을 제공합니다.","자격요건
1. 학위: 관련 분야 학사 이상
2. 경력(업계경력): 신입/경력 무관
3. 요구 능력
- Python, Pytorch 개발 능력
- 인공지능(Computer Vision 분야)에 대한 깊은 이해
- 데이터 기반/통계 활용 이공계 연구 경험 (전공 무관, 논문 필요)
- 데이터 고도화를 통한 DL 모델 성능 향상 경험
- 기타 IT 관련 지식과 SW 테스트 업무에 대한 관심

*이력서 및 포트폴리오 제출 부탁드립니다. (현재 연봉정보 및 희망 연봉정보 필수 기입 부탁드립니다.)","우대사항
- 관련 경력 3년 이상, 관련 전공 석사 학위 이상
- MLOps 경험자
- 문제를 수학적으로 formulate하는 능력
- C/C++ 개발 능력
- 협업 툴(Jira, Confluence / MS Teams) 경험자
- 영어 문서 이해에 어려움이 없는 사람"
